What is Takaful?,"Takaful is a mutual assistance scheme based on the principles of solidarity, brotherhood, and  A: It depends on the contributions term that you have chosen, i.e. 5 years, 10 years, 20 years of full cooperation. Each participant agrees to contribute on the bases basis of Tabarru'  (donation) into  term."
Is Takaful and Conventional Insurance Similar?,"Both takaful and conventional insurance provide protection in the event of unforeseen events and
contributions must be made to start the coverage.Takaful provides protection based on Shariah principles.Both insurance and takaful have similar basic principles. For instance, the insured must have a legitimate
financial interest in the risk you are insuring, meaning you must suffer a financial loss when the insured
event occurs. Your insurance or takaful contract is a contract of utmost good faith (trust). Thus, you as
the certificate owner need to disclose all material information required"
What are the differences between takaful and conventional insurance? ,"Unlike conventional insurance, which risk is transferred from the insured to the insurer, the Takaful
Insurance mutual risk is shared amongst the participants. Takaful operations are based upon the
principles of mutuality, whereby each participant makes a donation to a Takaful fund. In the event of its
loss, the participant will receive the amount of its claim.On top of that, unlike conventional insurance, the participants retain an ownership interest in the takaful
fund. Contributions from the participants are later invested into a halal or Shariah compliant funds to
derive investment income. In the event when the fund generates a surplus, it is then shared among the
participants."
What are benefits of Takaful plan,"Family Takaful Plan offers benefits and life insurance coverage to your long-term savings. You or your heirs will benefit in monetary terms if you had an accident. At the same time, you will enjoy long-term personal savings as part of your contribution will be deposited into a savings account for the purpose."
Does Family Takaful plan is only provided for Muslims?,"No, the Family Takaful plan is available to all individuals regardless his / her religious beliefs. No additional terms and conditions imposed on non-Muslim participants."
What is the concept of Family Takaful?,"When you participate in the family takaful, you will contribute a sum of money to a common takaful fund. You will be entered into an agreement (aqad) for part of your contribution as participative contribution (tabarru ') and partly as a savings and investment. Your contribution in the form tabarru 'will be put into a special account funds Participants (AKP), which will be used to fulfill your responsibilities in helping each other if one of the participants misfortune such as the death or permanent disability. If you survive until the maturity date of the plan, you are entitled to share the net surplus of thefund, (if any). Operator will invest your savings and investment contributions in the Participant Account (AP) and the profit will be shared between you and the operator based on pre-agreed ratio."
What  are the important features of Family Takaful plan?,"The salient features of the Family Takaful are:

Available to all individuals aged between 18 and 55 years.
You have the option on maturity.
No forfeiture in the event of cancellation
Facilities for producing some of the contributions.
Surplus sharing with takaful operators.
To provide long-term savings and investments."
What is the terms and conditions for participating in Family Takaful plan,"It is important that you understand the terms used in Family Takaful plan. If you are unsure of the meanings on these terms, you should ask your agent or the operator. As the certificate is a legal contract, the purposes set forth in the certificate will apply the claim.
Some of the important terms are:

Contribution - This is an installment of your contribution shall be paid to the operator. You can choose to pay contributions monthly, quarterly, half-yearly or yearly.
Grace period - You will be allowed a grace period of 30 days to pay installments Takaful contribution. If you die during the grace period, installments outstanding contribution shall be deducted from the amount of Takaful benefits you.
Maturity - You can choose any maturity appropriate for your needs. The range is from 10 years to 40 years"
What are the exceptions in the Family Takaful plan?,"Family Takaful plans typically do not cover the following points:

Attempted suicide or intentionally self-inflicted injury either while you sane or insane.
If you break the law.
If you provoke an attack.
If you are under the influence of drugs or alcohol.
If you have AIDS or HIV.
Other reasons prohibited by Shariah law."
How do I make the contribution to my Takaful Family Plan?,"You can choose to make your Takaful contribution by installments on monthly, quarterly, semi-annually or annually basis. Payment can be made through bank standing order, payroll deduction, and payment by cash or check at any branch of your takaful operator."
What types of claims can I make if I participate in the Family Takaful plan?,"Claims must be notified in writing immediately to the Department of Family Takaful Claims as soon as the incident occurred.

There are various types of claim : -
Death Claim
Expenses Instant Death
Total Permanent Disability
Hospital Benefit
Exemption Benefit Contributions
Critical Illness
Family Income Benefit"
What is General Takaful,"General Takaful is provided to give protection to participant for losses arising from perils such as accident, fire, flood, liability and burglary. For instance, insuring your hourse and belongings against fire or vehicles against accidental damage or theft. You will also be covered on your liabilites to others arising out of the law demand and it is compulsory in some cases like the motor third party takaful.

When you participate in the General Takaful plan you will be covered when something happens to the items that are being covered. For instance, if you participate in General Takaful for your house and it was damaged in a storm, your Takaful protection will cover the cost of repairing your house but as long as you are up to date on your Takaful certificate."
What are the main General Takaful Products?,"There are 9 products of General Takaful offered by Takaful Operator in Malaysia namely Motor Takaful, Marine Takaful, Fire Takaful, Liability Takaful, Personal Accident Takaful, Fidelity Guarantee and Bonds, Aviation Takaful and Miscellaneous Accident Takafu"
What is the difference between General Takaful and General Insurance?,There is no obvious difference between both practices except for; General Takaful is provided to provide a form of Shariah-compliant risk management via risk sharing to cover participants against financial losses due to misfortune occurring to their properties or their rights.
Who should buy General Takaful?,"Anyone who owns an asset should participate in General Takaful as to protect it against losses due to fire, theft and etc. Each paricipant may also insure his / her dependents  health and well-being through hospitalization and personal accident certificates. The participants should be the one who will bear the financial losses if it's happen. This is called insurable interest."
